,text_agent,category_agent,sub-category_agent,speaker_customer,text_customer,clean _text_custumer,cleaned_text_of_custumer_for_clusters,cluster_for_custumer,clean_text_agent_corpus
4936,i can look that up for. one moment please.,single_item_query,shirt_how_4,customer,i do not have those information,i do not have those information,i do not have those information,432,i can look that up for one moment please
4937,"the ck small shirt has a collar that measures 14"". did you need additional information on the item?",single_item_query,shirt_how_4,customer,should you not have it using my name?,should you not have it using my name,should you not have it using my name,171,the ck small shirt has a collar that measures  did you need additional information on the item
4938,you are welcome. have an awesome day!,single_item_query,shirt_how_4,customer,i heard from my spouse,i heard from my spouse,i heard from my spouse,329,you are welcome have an awesome day
4939,"hi, thanks for contacting acme.  how may i help?",purchase_dispute,out_of_stock_one_item,customer,"all right, i will double check my bank account to confirm.  thanks",all right i will double check my bank account to confirm thanks,all right i will double check my bank account to confirm thanks,77,hi thanks for contacting acme how may i help
4940,"oh, i'm sorry to hear that.  i'll put in a report to our purchasing department, and if you'd like, i can place a back order for you, so that you will get it shipped as soon as it arrives",purchase_dispute,out_of_stock_one_item,customer,"no, that is all",no that is all,no that is all,244,oh im sorry to hear that ill put in a report to our purchasing department and if youd like i can place a back order for you so that you will get it shipped as soon as it arrives
4941,"okay, may i ask your full name or your account id to begin with?",purchase_dispute,out_of_stock_one_item,customer,hey! i'm an idiot and i need help.,hey im an idiot and i need help,hey im an idiot and i need help,120,okay may i ask your full name or your account id to begin with
4942,and which item were you looking for today?,purchase_dispute,out_of_stock_one_item,customer,i forgot my username to my account.,i forgot my username to my account,i forgot my username to my account,80,and which item were you looking for today
4943,"okay, i'll put in a notice with the purchasing department, and hopefully this won't happen again",purchase_dispute,out_of_stock_one_item,customer,joyce wu,joyce wu,joyce wu,40,okay ill put in a notice with the purchasing department and hopefully this wont happen again
4944,"and as for your back order, may i go ahead and use the credit card that you already have on file?",purchase_dispute,out_of_stock_one_item,customer,"i on't have my email either, i'm not that smart. my zip code is <zip_code>",i ont have my email either im not that smart my zip code is zip_code,i ont have my email either im not that smart my zip code is zip_code,67,and as for your back order may i go ahead and use the credit card that you already have on file
4945,"and the shipping details as well, i presum--ah, excellent",purchase_dispute,out_of_stock_one_item,customer,don't,dont,dont,8,and the shipping details as well i presum  ah excellent
4946,you read my mind,purchase_dispute,out_of_stock_one_item,customer,that i have. <phone>,that i have phone,that i have phone,20,you read my mind
4947,"okay, you're all set for now.  as soon as we get a shipment, we'll send that order right out to you",purchase_dispute,out_of_stock_one_item,customer,that's right. how did i forget that.,thats right how did i forget that,thats right how did i forget that,374,okay youre all set for now as soon as we get a shipment well send that order right out to you
4948,is there anything else i can help with in the meantime?,purchase_dispute,out_of_stock_one_item,customer,that's all for today!,thats all for today,thats all for today,320,is there anything else i can help with in the meantime
4949,"excellent, have a great day, mr. bouchard",purchase_dispute,out_of_stock_one_item,customer,thanks for everything.,thanks for everything,thanks for everything,426,excellent have a great day mr bouchard
4950,welcome to acmebrands. how may i help you?,troubleshoot_site,search_results,customer,i have already completed a return and the charge has not been reversed on my billing statement,i have already completed a return and the charge has not been reversed on my billing statement,i have already completed a return and the charge has not been reversed on my billing statement,421,welcome to acmebrands how may i help you
4951,ok. i will look into that. one moment.,troubleshoot_site,search_results,customer,david williams,david williams,david williams,44,ok i will look into that one moment
4952,please try logging out and then back in again. let me know if that does the trick.,troubleshoot_site,search_results,customer,<username>  <email>   <order_id>,username email order_id,username email order_id,283,please try logging out and then back in again let me know if that does the trick
4953,ok,troubleshoot_site,search_results,customer,"i really don't know, my wife did it for me.",i really dont know my wife did it for me,i really dont know my wife did it for me,392,ok
4954,ok. let's try something else.,troubleshoot_site,search_results,customer,great. thank you.,great thank you,great thank you,248,ok lets try something else
4955,try cleaning out the cookies and let me know if that does it.,troubleshoot_site,search_results,customer,"no, thanks",no thanks,no thanks,88,try cleaning out the cookies and let me know if that does it
4956,ok,troubleshoot_site,search_results,customer,hi i have a question about an order i made,hi i have a question about an order i made,hi i have a question about an order i made,300,ok
4957,great! anything else i can help with?,troubleshoot_site,search_results,customer,ok its crystal minh,ok its crystal minh,ok its crystal minh,35,great anything else i can help with
4958,"hi, how may i help you today?",shipping_issue,cost,customer,order id is <order_id>,order id is order_id,order id is order_id,124,hi how may i help you today
4959,"sure, i can help with that. could i please have your name?",shipping_issue,cost,customer,<username>,username,username,305,sure i can help with that could i please have your name
4960,"hi, rodriguez",shipping_issue,cost,customer,i had a promo code that i got a couple of days ago and tried to apply it to the order but it was invalid,i had a promo code that i got a couple of days ago and tried to apply it to the order but it was invalid,i had a promo code that i got a couple of days ago and tried to apply it to the order but it was invalid,269,hi rodriguez
4961,would you like to cancel your order and get a refund due to high shipping costs?,shipping_issue,cost,customer,not sure if you saw it.,not sure if you saw it,not sure if you saw it,308,would you like to cancel your order and get a refund due to high shipping costs
4962,"okay i can help you with that, could i please have you username, email, and order id?",shipping_issue,cost,customer,in my order. but somehow i don't have the emai with the code anymore. i was hoping that you can see if and then apply the discount?,in my order but somehow i dont have the emai with the code anymore i was hoping that you can see if and then apply the discount,in my order but somehow i dont have the emai with the code anymore i was hoping that you can see if and then apply the discount,72,okay i can help you with that could i please have you username email and order id
4963,"okay, let me enter that in here...",shipping_issue,cost,customer,ok thanks,ok thanks,ok thanks,257,okay let me enter that in here
4964,"there seems to be a problem with your order id, are you sure you entered it correctly?",shipping_issue,cost,customer,yeah it's bronze,yeah its bronze,yeah its bronze,18,there seems to be a problem with your order id are you sure you entered it correctly
4965,"oh perfect, your purchase has been validated. i'm looking into the order status now",shipping_issue,cost,customer,"ok thanks, appreciate it!",ok thanks appreciate it,ok thanks appreciate it,257,oh perfect your purchase has been validated im looking into the order status now
4966,do you have the shipping status on hand?,shipping_issue,cost,customer,no i'm good. i'm going to use the code!,no im good im going to use the code,no im good im going to use the code,323,do you have the shipping status on hand
4967,i'm sorry but we are unable to offer you a full refund. we can refund part of the shipping fee though.,shipping_issue,cost,customer,hi,hi,hi,84,im sorry but we are unable to offer you a full refund we can refund part of the shipping fee though
4968,we can refund $8 of the shipping,shipping_issue,cost,customer,"hi there, i would like to add an item to an order i had already created.",hi there i would like to add an item to an order i had already created,hi there i would like to add an item to an order i had already created,217,we can refund 8 of the shipping
4969,you'd like to refund the item due to slow shipping?,shipping_issue,cost,customer,my name is david williams,my name is david williams,my name is david williams,239,youd like to refund the item due to slow shipping
4970,"okay, what refund method would you like to use? gift card, account balance, check, or credit card?",shipping_issue,cost,customer,here's my account id :<account_id> and order id :<order_id>,heres my account id account_id and order id order_id,heres my account id account_id and order id order_id,139,okay what refund method would you like to use gift card account balance check or credit card
4971,"okay, i'm entering it in now.",shipping_issue,cost,customer,in transit,in transit,in transit,50,okay im entering it in now
4972,"no, but we can refund the shipping of your original order and you can use that money towards the shipping of your next purchase",shipping_issue,cost,customer,it's gold,its gold,its gold,69,no but we can refund the shipping of your original order and you can use that money towards the shipping of your next purchase
4973,"perfect, your refund has been sent, is there anything else i can do today?",shipping_issue,cost,customer,wow. i'm so happy.,wow im so happy,wow im so happy,369,perfect your refund has been sent is there anything else i can do today
4974,"i'm sorry, sir, that's the most we can refund.",shipping_issue,cost,customer,that's also fine for me,thats also fine for me,thats also fine for me,204,im sorry sir thats the most we can refund
4975,"thank you for your patience, is that all today?",shipping_issue,cost,customer,hope it wont be delayed,hope it wont be delayed,hope it wont be delayed,366,thank you for your patience is that all today
4976,have a good day,shipping_issue,cost,customer,a <name>,a name,a name,298,have a good day
4977,hello. how can i help you today?,account_access,reset_2fa,customer,no. that would be all for now.,no that would be all for now,no that would be all for now,126,hello how can i help you today
4978,yes this is definately something we can help with,account_access,reset_2fa,customer,"i need to check on some boots i ordered, but i can't log in. i totally forgot my password",i need to check on some boots i ordered but i cant log in i totally forgot my password,i need to check on some boots i ordered but i cant log in i totally forgot my password,116,yes this is definately something we can help with
4979,you wish to reset your two factor authentication?,account_access,reset_2fa,customer,can you help with that?,can you help with that,can you help with that,240,you wish to reset your two factor authentication
4980,if your phone is broken we will need to reset two factor authentication in order for you to log in,account_access,reset_2fa,customer,full name is rodriguez domingo,full name is rodriguez domingo,full name is rodriguez domingo,319,if your phone is broken we will need to reset two factor authentication in order for you to log in
4981,can i get your full name and account id?,account_access,reset_2fa,customer,<username>,username,username,305,can i get your full name and account id
4982,can you please provide me with your email address as well?,account_access,reset_2fa,customer,"yeah, give me a second to think of my security word",yeah give me a second to think of my security word,yeah give me a second to think of my security word,161,can you please provide me with your email address as well
4983,can you confirm your pin number?,account_access,reset_2fa,customer,"oh, okay...its martinez",oh okayits martinez,oh okayits martinez,234,can you confirm your pin number
4984,i have sent a reset code to the email address on file,account_access,reset_2fa,customer,"right, thanks!",right thanks,right thanks,257,i have sent a reset code to the email address on file
4985,also i have sent a link with best practices to help you avoid this problem in the future,account_access,reset_2fa,customer,that's it!,thats it,thats it,102,also i have sent a link with best practices to help you avoid this problem in the future
4986,is there anything else i can help you with today?,account_access,reset_2fa,customer,i am searching for some jeans and keep getting results for mary janes? help,i am searching for some jeans and keep getting results for mary janes help,i am searching for some jeans and keep getting results for mary janes help,162,is there anything else i can help you with today
4987,all right. have a great day!,account_access,reset_2fa,customer,i get women's jeans and i am a man.,i get womens jeans and i am a man,i get womens jeans and i am a man,225,all right have a great day
4988,"hello, how may i help you today?",account_access,recover_username,customer,ok i logged out and have logged back in.,ok i logged out and have logged back in,ok i logged out and have logged back in,246,hello how may i help you today
4989,i can certainly help you recover your username.,account_access,recover_username,customer,"ok, checking that out now and hurrah! i found the jeans i am looking for. how come that got so messed up?",ok checking that out now and hurrah i found the jeans i am looking for how come that got so messed up,ok checking that out now and hurrah i found the jeans i am looking for how come that got so messed up,162,i can certainly help you recover your username
4990,can you please tell me your full name or account id?,account_access,recover_username,customer,"for sure, thank you so much and hope your day is well.",for sure thank you so much and hope your day is well,for sure thank you so much and hope your day is well,49,can you please tell me your full name or account id
4991,can i also have your zip code and phone number please?,account_access,recover_username,customer,i wanted to check on the status of my refund.,i wanted to check on the status of my refund,i wanted to check on the status of my refund,412,can i also have your zip code and phone number please
4992,thank you.,account_access,recover_username,customer,"yes, i've been waiting for a little while, so i wanted to check on it.",yes ive been waiting for a little while so i wanted to check on it,yes ive been waiting for a little while so i wanted to check on it,324,thank you
4993,your username is czhang1,account_access,recover_username,customer,my name is albert sanders,my name is albert sanders,my name is albert sanders,13,your username is czhang1
4994,is there anything else i can help you with today?,account_access,recover_username,customer,about 2 weeks.,about weeks,about weeks,223,is there anything else i can help you with today
4995,you are welcome.,account_access,recover_username,customer,"my username is <username>, my email is <email>, and my order id is <order_id>",my username is username my email is email and my order id is order_id,my username is username my email is email and my order id is order_id,67,you are welcome
4996,thank you. have a great day!,account_access,recover_username,customer,the date was march 20th,the date was march th,the date was march th,409,thank you have a great day
4997,"hello, how can i help you today?",purchase_dispute,out_of_stock_one_item,customer,"yes, i'm just waiting on the refund.",yes im just waiting on the refund,yes im just waiting on the refund,250,hello how can i help you today
4998,glad to help. may i have your name please?,purchase_dispute,out_of_stock_one_item,customer,"no, i made the return, and they were going to issue me a refund.",no i made the return and they were going to issue me a refund,no i made the return and they were going to issue me a refund,412,glad to help may i have your name please
4999,thanks david.,purchase_dispute,out_of_stock_one_item,customer,great. what method of payment will the refund be?,great what method of payment will the refund be,great what method of payment will the refund be,250,thanks david
5000,"which particular brand and type are you looking for, david?",purchase_dispute,out_of_stock_one_item,customer,i used my visa card.,i used my visa card,i used my visa card,377,which particular brand and type are you looking for david
5001,"thanks david. i will write up a report and let the purchasing department know about this, so they can do a better job.",purchase_dispute,out_of_stock_one_item,customer,"great, thank you!",great thank you,great thank you,248,thanks david i will write up a report and let the purchasing department know about this so they can do a better job
5002,"sure, i can do it for you.",purchase_dispute,out_of_stock_one_item,customer,that was all!,that was all,that was all,75,sure i can do it for you
5003,the item will be shipped immediately when it becomes available.,purchase_dispute,out_of_stock_one_item,customer,"hello, i would like to know about how to remove gum from the sole of the tommy hilfiger boots",hello i would like to know about how to remove gum from the sole of the tommy hilfiger boots,hello i would like to know about how to remove gum from the sole of the tommy hilfiger boots,19,the item will be shipped immediately when it becomes available
5004,give me a second.,purchase_dispute,out_of_stock_one_item,customer,great,great,great,31,give me a second
5005,what size do you want?,purchase_dispute,out_of_stock_one_item,customer,that sounds easy enough,that sounds easy enough,that sounds easy enough,255,what size do you want
5006,okay.,purchase_dispute,out_of_stock_one_item,customer,ok thanks very much,ok thanks very much,ok thanks very much,357,okay
5007,is it okay that i use the same credit card that is on file?,purchase_dispute,out_of_stock_one_item,customer,that is all,that is all,that is all,75,is it okay that i use the same credit card that is on file
5008,perfect. the purchase has been made. your order will arrive soon.,purchase_dispute,out_of_stock_one_item,customer,"yes i was trying to get some more information on one of your items, i was thinking about buying",yes i was trying to get some more information on one of your items i was thinking about buying,yes i was trying to get some more information on one of your items i was thinking about buying,149,perfect the purchase has been made your order will arrive soon
5009,"great, is there anything else that i can help you with?",purchase_dispute,out_of_stock_one_item,customer,yes i was looking at the michael kors jeans,yes i was looking at the michael kors jeans,yes i was looking at the michael kors jeans,309,great is there anything else that i can help you with
5010,have a nice day!,purchase_dispute,out_of_stock_one_item,customer,yes i would like to know how much would it cost to get the jeans tailored,yes i would like to know how much would it cost to get the jeans tailored,yes i would like to know how much would it cost to get the jeans tailored,225,have a nice day
5011,hello! thank you so much for choosing acmebrands. how may i assist you?,single_item_query,shirt_other_1,customer,"okay, great! thank you for your help",okay great thank you for your help,okay great thank you for your help,326,hello thank you so much for choosing acmebrands how may i assist you
5012,"i'll be glad to help you, alessandro! what question did you have?",single_item_query,shirt_other_1,customer,that will be all,that will be all,that will be all,81,ill be glad to help you alessandro what question did you have
5013,"i would highly recommend not washing your shirt in hot water, as this may lead to shrinking.",single_item_query,shirt_other_1,customer,hello,hello,hello,23,i would highly recommend not washing your shirt in hot water as this may lead to shrinking
5014,cold water would be your best option.,single_item_query,shirt_other_1,customer,can you tell me how i can cancel my subscription?,can you tell me how i can cancel my subscription,can you tell me how i can cancel my subscription,395,cold water would be your best option
5015,"you can certainly dry it in a clothes dryer, just perhaps on a lower heat setting. air drying, if convenient, will also work well.",single_item_query,shirt_other_1,customer,both please,both please,both please,117,you can certainly dry it in a clothes dryer just perhaps on a lower heat setting air drying if convenient will also work well
5016,is there anything more i may help you with today?,single_item_query,shirt_other_1,customer,i want to know how to cancel my subscription and what happens if i cancel it,i want to know how to cancel my subscription and what happens if i cancel it,i want to know how to cancel my subscription and what happens if i cancel it,395,is there anything more i may help you with today
5017,thank you so much for contacting acmebrands customer service. goodbye!,single_item_query,shirt_other_1,customer,no. that was all,no that was all,no that was all,244,thank you so much for contacting acmebrands customer service goodbye
5018,hello. how may i assist you today?,account_access,reset_2fa,customer,"hello, i am trying to access my account but i seemed to have forgotten my username.",hello i am trying to access my account but i seemed to have forgotten my username,hello i am trying to access my account but i seemed to have forgotten my username,365,hello how may i assist you today
5019,"gotcha, so sorry to hear that. what's your name?",account_access,reset_2fa,customer,norman bouchard,norman bouchard,norman bouchard,36,gotcha so sorry to hear that whats your name
5020,can i have your email address?,account_access,reset_2fa,customer,"<zip_code>, <phone>",zip_code phone,zip_code phone,224,can i have your email address
5021,thanks.,account_access,reset_2fa,customer,ok great thanks,ok great thanks,ok great thanks,248,thanks
5022,i am going to send you an email crystal. it will tell you how to reset that two-factor authentication.,account_access,reset_2fa,customer,that is all,that is all,that is all,75,i am going to send you an email crystal it will tell you how to reset that two factor authentication
5023,"in addition, i am going to send you an email which explains our suggestions for best security practices.",account_access,reset_2fa,customer,"hi, i'm looking for some info on some boots i'm thinking about getting",hi im looking for some info on some boots im thinking about getting,hi im looking for some info on some boots im thinking about getting,160,in addition i am going to send you an email which explains our suggestions for best security practices
5024,do you know your username?,account_access,reset_2fa,customer,it's the calvin klein boots. are the laces black or dark brown?,its the calvin klein boots are the laces black or dark brown,its the calvin klein boots are the laces black or dark brown,427,do you know your username
5025,"okay, then. just wanted to make sure you knew it!",account_access,reset_2fa,customer,"ok, great! that's all i needed. i do like them a lot!",ok great thats all i needed i do like them a lot,ok great thats all i needed i do like them a lot,369,okay then just wanted to make sure you knew it
5026,can i help you with anything else?,account_access,reset_2fa,customer,"ok, that's fine.",ok thats fine,ok thats fine,204,can i help you with anything else
5027,of course.,account_access,reset_2fa,customer,i was charged for an order and i never brought anything,i was charged for an order and i never brought anything,i was charged for an order and i never brought anything,153,of course
5028,awesome!,account_access,reset_2fa,customer,rodriguez domingo,rodriguez domingo,rodriguez domingo,29,awesome
5029,i am glad it worked.,account_access,reset_2fa,customer,<username>. <order_id>,username order_id,username order_id,406,i am glad it worked
5030,can i help with anything else?,account_access,reset_2fa,customer,i am trying to resolve this billing issue because i am being charged for this order that i did not make,i am trying to resolve this billing issue because i am being charged for this order that i did not make,i am trying to resolve this billing issue because i am being charged for this order that i did not make,153,can i help with anything else
5031,"okay then. thanks for reaching out, have a great day!",account_access,reset_2fa,customer,no account id sorry,no account id sorry,no account id sorry,189,okay then thanks for reaching out have a great day
5032,"hello, how can i assist you?",troubleshoot_site,slow_speed,customer,<email>,email,email,43,hello how can i assist you
5033,i will be happy to help you today! i will right away write up a report to the internal team.,troubleshoot_site,slow_speed,customer,ok,ok,ok,52,i will be happy to help you today i will right away write up a report to the internal team
5034,have you tried logging in and out?,troubleshoot_site,slow_speed,customer,ok,ok,ok,52,have you tried logging in and out
5035,have you tried visiting an unrelated site? sometimes the problem is the internet itself.,troubleshoot_site,slow_speed,customer,that is all thank you,that is all thank you,that is all thank you,233,have you tried visiting an unrelated site sometimes the problem is the internet itself
5036,please try closing any and all tabs and programs you may have running now. sometimes they can cause a slow down of our site.,troubleshoot_site,slow_speed,customer,hello the website is running really slow,hello the website is running really slow,hello the website is running really slow,260,please try closing any and all tabs and programs you may have running now sometimes they can cause a slow down of our site
5037,"great to hear, do you need any further assistance?",troubleshoot_site,slow_speed,customer,i need to know what is going on because it is not usable,i need to know what is going on because it is not usable,i need to know what is going on because it is not usable,413,great to hear do you need any further assistance
5038,"great, have a wonderful day!",troubleshoot_site,slow_speed,customer,joseph banter,joseph banter,joseph banter,42,great have a wonderful day
5039,"hello, how can i help you today?",single_item_query,jeans_other_1,customer,ok,ok,ok,52,hello how can i help you today
5040,"sure, can i have your name please?",single_item_query,jeans_other_1,customer,that did not work,that did not work,that did not work,321,sure can i have your name please
5041,which item are you interested in?,single_item_query,jeans_other_1,customer,ok,ok,ok,52,which item are you interested in
5042,let me pull up some info on those.,single_item_query,jeans_other_1,customer,oh that worked! thank you,oh that worked thank you,oh that worked thank you,360,let me pull up some info on those
5043,did you have any specific questions about this item?,single_item_query,jeans_other_1,customer,no  that was all thank you,no that was all thank you,no that was all thank you,164,did you have any specific questions about this item
5044,if given proper care they shouldn't shrink or lose shape in the wash. just remember to turn them inside out and use a cold-wash option. hang drying is best but putting them in the dryer should be ok.,single_item_query,jeans_other_1,customer,have a nice day,have a nice day,have a nice day,322,if given proper care they shouldnt shrink or lose shape in the wash just remember to turn them inside out and use a cold wash option hang drying is best but putting them in the dryer should be ok
5045,can i help with anything else?,single_item_query,jeans_other_1,customer,hi,hi,hi,84,can i help with anything else
5046,have a nice day.,single_item_query,jeans_other_1,customer,i have an item i want to return because the size is wrong,i have an item i want to return because the size is wrong,i have an item i want to return because the size is wrong,408,have a nice day
5047,thank you for contacting acme.  how may i help you today?,shipping_issue,missing,customer,norman bouchard,norman bouchard,norman bouchard,36,thank you for contacting acme how may i help you today
5048,"oh, i'm sorry to hear that",shipping_issue,missing,customer,order id: <order_id>,order id order_id,order id order_id,124,oh im sorry to hear that
5049,"if i can gather some information from you, i can check on that order, and possibly even send you another package if this one is missing",shipping_issue,missing,customer,my member level is guest,my member level is guest,my member level is guest,47,if i can gather some information from you i can check on that order and possibly even send you another package if this one is missing
5050,"okay, since this is a missing item, i will need to ask you your username and your email address to go with that order number",shipping_issue,missing,customer,i do have a username though,i do have a username though,i do have a username though,214,okay since this is a missing item i will need to ask you your username and your email address to go with that order number
5051,"okay, i'll send another order out to you right away.",shipping_issue,missing,customer,<email>,email,email,43,okay ill send another order out to you right away
5052,"oh, sorry about that.  is there a different address than the one on file?",shipping_issue,missing,customer,2019-12-30, 12 30, 12 30,293,oh sorry about that is there a different address than the one on file
5053,"oh, that must have been our problem all along.",shipping_issue,missing,customer,"no, but it is in the original packaging, and i have the order id",no but it is in the original packaging and i have the order id,no but it is in the original packaging and i have the order id,379,oh that must have been our problem all along
5054,"yes, that might be it",shipping_issue,missing,customer,"all right, wait. i have found the receipt",all right wait i have found the receipt,all right wait i have found the receipt,246,yes that might be it
5055,"yes, your address is updated via copy and paste.  baltimore california, and a zip code that begins with an 8",shipping_issue,missing,customer,"address: <street_address>  newark, ny <zip_code>",address street_address newark ny zip_code,address street_address newark ny zip_code,92,yes your address is updated via copy and paste baltimore california and a zip code that begins with an
5056,"since there appears to be a problem in our systems today, can i confirm the brand of boots",shipping_issue,missing,customer,mail,mail,mail,100,since there appears to be a problem in our systems today can i confirm the brand of boots
5057,"okay, that order is now ready to go.",shipping_issue,missing,customer,"no, that is all.  thank you",no that is all thank you,no that is all thank you,164,okay that order is now ready to go
5058,"whoever's walking around in new boots in new york, i can assure you that you will only be charged for your original order",shipping_issue,missing,customer,i could be better.  it seems i was charged for an order i never placed.,i could be better it seems i was charged for an order i never placed,i could be better it seems i was charged for an order i never placed,153,whoevers walking around in new boots in new york i can assure you that you will only be charged for your original order
5059,is there anything else i can help you with before we depart?,shipping_issue,missing,customer,david williams,david williams,david williams,44,is there anything else i can help you with before we depart
5060,"excellent, have a good day",shipping_issue,missing,customer,<username>,username,username,305,excellent have a good day
5061,"hello, how may i help you?",manage_account,manage_change_name,customer,<email>,email,email,43,hello how may i help you
5062,i can help with that. can i get your full name please?,manage_account,manage_change_name,customer,order id: <order_id>,order id order_id,order id order_id,124,i can help with that can i get your full name please
5063,"thank you. can you also provide your zip code, phone number, and username so i can verify your identity?",manage_account,manage_change_name,customer,gold,gold,gold,69,thank you can you also provide your zip code phone number and username so i can verify your identity
5064,"hmm, i am having some issues with that information. how about your email address and order id?",manage_account,manage_change_name,customer,thank you,thank you,thank you,2,hmm i am having some issues with that information how about your email address and order id
5065,i'm still having issues with your email address. do you have your password or pin number?,manage_account,manage_change_name,customer,no that is all.,no that is all,no that is all,244,im still having issues with your email address do you have your password or pin number
5066,"yes, that is the only other method of verification i have.",manage_account,manage_change_name,customer,"hi, i think the payment method on my order is wrong.",hi i think the payment method on my order is wrong,hi i think the payment method on my order is wrong,286,yes that is the only other method of verification i have
5067,thanks. what name do you want to change it to?,manage_account,manage_change_name,customer,i wanted it to charge my credit card but it charged my paypal,i wanted it to charge my credit card but it charged my paypal,i wanted it to charge my credit card but it charged my paypal,263,thanks what name do you want to change it to
5068,thank you! i have updated your name in our system and you are good to go.,manage_account,manage_change_name,customer,norman bouchard,norman bouchard,norman bouchard,36,thank you i have updated your name in our system and you are good to go
5069,is there anything else i can help with?,manage_account,manage_change_name,customer,<account_id>,account_id,account_id,176,is there anything else i can help with
5070,have a great day,manage_account,manage_change_name,customer,order id: <order_id>,order id order_id,order id order_id,124,have a great day
5071,hi! how may i help you today,troubleshoot_site,credit_card,customer,"the jeans are already out for delivery so i hope we can fix this, i pay for a gold membership after all.",the jeans are already out for delivery so i hope we can fix this i pay for a gold membership after all,the jeans are already out for delivery so i hope we can fix this i pay for a gold membership after all,146,hi how may i help you today
5072,i am so sorry this is happening. let me try and help.  can you first try and re enter the credit card number and see if that fixes the issue,troubleshoot_site,credit_card,customer,nope that was it. thanks,nope that was it thanks,nope that was it thanks,313,i am so sorry this is happening let me try and help can you first try and re enter the credit card number and see if that fixes the issue
5073,"ok, lets try logging out of your account and back in.  then try again",troubleshoot_site,credit_card,customer,hi,hi,hi,84,ok lets try logging out of your account and back in then try again
5074,great! was there anything else i could help with today?,troubleshoot_site,credit_card,customer,can i change my shipping details for my account,can i change my shipping details for my account,can i change my shipping details for my account,66,great was there anything else i could help with today
5075,you're welcome! have a great day,troubleshoot_site,credit_card,customer,i cannot seem to do it via my account page,i cannot seem to do it via my account page,i cannot seem to do it via my account page,80,youre welcome have a great day
5076,"hello, how can i help you",troubleshoot_site,slow_speed,customer,norman bouchard,norman bouchard,norman bouchard,36,hello how can i help you
5077,i will help you out with this issue.,troubleshoot_site,slow_speed,customer,<account_id>,account_id,account_id,176,i will help you out with this issue
5078,we will need to troubleshoot.,troubleshoot_site,slow_speed,customer,"<street_address>  jacksonville, wa <zip_code>",street_address jacksonville wa zip_code,street_address jacksonville wa zip_code,247,we will need to troubleshoot
5079,okay first try to log out and back in on the site.,troubleshoot_site,slow_speed,customer,can it be changed to,can it be changed to,can it be changed to,178,okay first try to log out and back in on the site
5080,then see if it is still slow,troubleshoot_site,slow_speed,customer,"1885 lincoln ave  jacksonville, wa <zip_code>",lincoln ave jacksonville wa zip_code,lincoln ave jacksonville wa zip_code,247,then see if it is still slow
5081,okay now try visiting another site and if that one is slow its probably your internet connection.,troubleshoot_site,slow_speed,customer,username - <username>,username   username,username   username,6,okay now try visiting another site and if that one is slow its probably your internet connection
5082,then you should call your internet service provider and get that sorted out!,troubleshoot_site,slow_speed,customer,zipcode <zip_code>,zipcode zip_code,zipcode zip_code,159,then you should call your internet service provider and get that sorted out
5083,do you need anymore help?,troubleshoot_site,slow_speed,customer,tele - <phone>,tele   phone,tele   phone,163,do you need anymore help
5084,have a great day,troubleshoot_site,slow_speed,customer,it needs to be 1885 lincon address,it needs to be lincon address,it needs to be lincon address,333,have a great day
5085,hello. how may i help you today?,order_issue,manage_cancel,customer,not 4450,not,not,167,hello how may i help you today
5086,i see. may i have your name please?,order_issue,manage_cancel,customer,yep this is good,yep this is good,yep this is good,270,i see may i have your name please
5087,can i have your account id and order id?,order_issue,manage_cancel,customer,hey i think my shipping cost was too high on my order.,hey i think my shipping cost was too high on my order,hey i think my shipping cost was too high on my order,312,can i have your account id and order id
5088,norman what is the shipping status?,order_issue,manage_cancel,customer,my name is david williams,my name is david williams,my name is david williams,239,norman what is the shipping status
5089,what is your membership level?,order_issue,manage_cancel,customer,email address: <email>,email address email,email address email,1,what is your membership level
5090,well good thing for you i can refund it now. when you get it in just return the second one.,order_issue,manage_cancel,customer,username: <username>,username username,username username,6,well good thing for you i can refund it now when you get it in just return the second one
5091,how much was it for one of them?,order_issue,manage_cancel,customer,order id: <order_id>,order id order_id,order id order_id,124,how much was it for one of them
5092,alright i processed the refund. just ship the extra back to us when you get it.,order_issue,manage_cancel,customer,out for delivery,out for delivery,out for delivery,62,alright i processed the refund just ship the extra back to us when you get it
5093,anything else i can help you with?,order_issue,manage_cancel,customer,thanks that helps a lot,thanks that helps a lot,thanks that helps a lot,97,anything else i can help you with
5094,great. have a nice day.,order_issue,manage_cancel,customer,that's all i needed!  have a great day.,thats all i needed have a great day,thats all i needed have a great day,118,great have a nice day
5095,"hello, how can i help you today",subscription_inquiry,manage_pay_bill,customer,hi i have a question about a product,hi i have a question about a product,hi i have a question about a product,418,hello how can i help you today
5096,"not a problem, could i get your name or account id please",subscription_inquiry,manage_pay_bill,customer,i'm wondering how to remove gum from sole of a boot i bought?,im wondering how to remove gum from sole of a boot i bought,im wondering how to remove gum from sole of a boot i bought,19,not a problem could i get your name or account id please
5097,okay and could i also have your order id,subscription_inquiry,manage_pay_bill,customer,"okay perfect, does this work with mk boots?",okay perfect does this work with mk boots,okay perfect does this work with mk boots,302,okay and could i also have your order id
5098,"okay  great, so the standard subscription is $99 a year. would you like to be paying all of that right now or pay monthly?",subscription_inquiry,manage_pay_bill,customer,"no, that's all",no thats all,no thats all,244,okay great so the standard subscription is 99 a year would you like to be paying all of that right now or pay monthly
